1,-1,3111,1380,67,57,0.5081891417503357,-1,-1,-1
6,-1,3123,1348,70,58,0.7231912612915039,-1,-1,-1
8,-1,3146,1334,71,51,0.2792026400566101,-1,-1,-1
9,-1,3160,1326,68,55,0.6520610451698303,-1,-1,-1
10,-1,3169,1316,61,58,0.5420529842376709,-1,-1,-1
11,-1,3169,1316,61,58,0.5475199818611145,-1,-1,-1
14,-1,3227,1292,56,50,0.47364193201065063,-1,-1,-1
15,-1,3236,1286,67,53,0.6160101890563965,-1,-1,-1
16,-1,3256,1280,65,51,0.3244876563549042,-1,-1,-1
17,-1,3256,1280,65,51,0.3288796842098236,-1,-1,-1
18,-1,3268,1287,72,52,0.7194740176200867,-1,-1,-1
19,-1,3288,1289,61,47,0.29788514971733093,-1,-1,-1
20,-1,3303,1292,68,55,0.678662896156311,-1,-1,-1
21,-1,3318,1299,62,50,0.3375857472419739,-1,-1,-1
22,-1,3334,1309,70,49,0.4308936893939972,-1,-1,-1
23,-1,3334,1309,70,49,0.423719197511673,-1,-1,-1
24,-1,3341,1318,69,51,0.7158205509185791,-1,-1,-1
25,-1,3360,1330,61,51,0.4258304834365845,-1,-1,-1
26,-1,3372,1339,65,54,0.6410815715789795,-1,-1,-1
27,-1,3382,1357,67,53,0.6931713223457336,-1,-1,-1
30,-1,3406,1392,69,55,0.6993311047554016,-1,-1,-1
31,-1,3415,1413,71,55,0.8311926126480103,-1,-1,-1
32,-1,3426,1434,65,56,0.7285456657409668,-1,-1,-1
34,-1,3448,1415,66,55,0.2821669578552246,-1,-1,-1
35,-1,3448,1415,66,55,0.27921995520591736,-1,-1,-1
36,-1,3456,1390,68,53,0.2934078872203827,-1,-1,-1
38,-1,3479,1354,65,41,0.34514832496643066,-1,-1,-1
39,-1,3480,1336,76,45,0.5534756779670715,-1,-1,-1
40,-1,3492,1322,73,39,0.8354180455207825,-1,-1,-1
41,-1,3492,1322,73,39,0.8348087072372437,-1,-1,-1
42,-1,3507,1306,61,39,0.6258924603462219,-1,-1,-1
